1F36D ; [.11F0.0020.0002] # LOLLIPOP
1F36E ; [.11F1.0020.0002] # CUSTARD
1F36F ; [.11F2.0020.0002] # HONEY POT
1F370 ; [.11F3.0020.0002] # SHORTCAKE
1F371 ; [.11F4.0020.0002] # BENTO BOX
1F372 ; [.11F5.0020.0002] # POT OF FOOD
1F373 ; [.11F6.0020.0002] # COOKING
1F374 ; [.11F7.0020.0002] # FORK AND KNIFE
1F375 ; [.11F8.0020.0002] # TEACUP WITHOUT HANDLE
1F376 ; [.11F9.0020.0002] # SAKE BOTTLE AND CUP
1F377 ; [.11FA.0020.0002] # WINE GLASS
1F378 ; [.11FB.0020.0002] # COCKTAIL GLASS
1F379 ; [.11FC.0020.0002] # TROPICAL DRINK
1F37A ; [.11FD.0020.0002] # BEER MUG
1F37B ; [.11FE.0020.0002] # CLINKING BEER MUGS
1F37C ; [.11FF.0020.0002] # BABY BOTTLE
1F37D ; [.1200.0020.0002] # FORK AND KNIFE WITH PLATE
1F37E ; [.1201.0020.0002] # BOTTLE WITH POPPING CORK
1F37F ; [.1202.0020.0002] # POPCORN
1F380 ; [.1203.0020.0002] # RIBBON
1F381 ; [.1204.0020.0002] # WRAPPED PRESENT
1F382 ; [.1205.0020.0002] # BIRTHDAY CAKE
1F383 ; [.1206.0020.0002] # JACK-O-LANTERN
1F384 ; [.1207.0020.0002] # CHRISTMAS TREE
1F385 ; [.1208.0020.0002] # FATHER CHRISTMAS
1F386 ; [.1209.0020.0002] # FIREWORKS
1F387 ; [.120A.0020.0002] # FIREWORK SPARKLER
1F388 ; [.120B.0020.0002] # BALLOON
1F389 ; [.120C.0020.0002] # PARTY POPPER
1F38A ; [.120D.0020.0002] # CONFETTI BALL
1F38B ; [.120E.0020.0002] # TANABATA TREE
1F38C ; [.120F.0020.0002] # CROSSED FLAGS
1F38D ; [.1210.0020.0002] # PINE DECORATION
1F38E ; [.1211.0020.0002] # JAPANESE DOLLS
1F38F ; [.1212.0020.0002] # CARP STREAMER
1F390 ; [.1213.0020.0002] # WIND CHIME
1F391 ; [.1214.0020.0002] # MOON VIEWING CEREMONY
1F392 ; [.1215.0020.0002] # SCHOOL SATCHEL
1F393 ; [.1216.0020.0002] # GRADUATION CAP
1F394 ; [.1217.0020.0002] # HEART WITH TIP ON THE LEFT
1F395 ; [.1218.0020.0002] # BOUQUET OF FLOWERS
1F396 ; [.1219.0020.0002] # MILITARY MEDAL
1F397 ; [.121A.0020.0002] # REMINDER RIBBON
1F398 ; [.121B.0020.0002] # MUSICAL KEYBOARD WITH JACKS
1F399 ; [.121C.0020.0002] # STUDIO MICROPHONE
1F39A ; [.121D.0020.0002] # LEVEL SLIDER
1F39B ; [.121E.0020.0002] # CONTROL KNOBS
1F39C ; [.121F.0020.0002] # BEAMED ASCENDING MUSICAL NOTES
1F39D ; [.1220.0020.0002] # BEAMED DESCENDING MUSICAL NOTES
1F39E ; [.1221.0020.0002] # FILM FRAMES
1F39F ; [.1222.0020.0002] # ADMISSION TICKETS
1F3A0 ; [.1223.0020.0002] # CAROUSEL HORSE
1F3A1 ; [.1224.0020.0002] # FERRIS WHEEL
1F3A2 ; [.1225.0020.0002] # ROLLER COASTER
1F3A3 ; [.1226.0020.0002] # FISHING POLE AND FISH
1F3A4 ; [.1227.0020.0002] # MICROPHONE
1F3A5 ; [.1228.0020.0002] # MOVIE CAMERA
1F3A6 ; [.1229.0020.0002] # CINEMA
1F3A7 ; [.122A.0020.0002] # HEADPHONE
1F3A8 ; [.122B.0020.0002] # ARTIST PALETTE
1F3A9 ; [.122C.0020.0002] # TOP HAT
1F3AA ; [.122D.0020.0002] # CIRCUS TENT
1F3AB ; [.122E.0020.0002] # TICKET
1F3AC ; [.122F.0020.0002] # CLAPPER BOARD
1F3AD ; [.1230.0020.0002] # PERFORMING ARTS
1F3AE ; [.1231.0020.0002] # VIDEO GAME
1F3AF ; [.1232.0020.0002] # DIRECT HIT
1F3B0 ; [.1233.0020.0002] # SLOT MACHINE
1F3B1 ; [.1234.0020.0002] # BILLIARDS
1F3B2 ; [.1235.0020.0002] # GAME DIE
1F3B3 ; [.1236.0020.0002] # BOWLING
1F3B4 ; [.1237.0020.0002] # FLOWER PLAYING CARDS
1F3B5 ; [.1238.0020.0002] # MUSICAL NOTE
1F3B6 ; [.1239.0020.0002] # MULTIPLE MUSICAL NOTES
1F3B7 ; [.123A.0020.0002] # SAXOPHONE
1F3B8 ; [.123B.0020.0002] # GUITAR
1F3B9 ; [.123C.0020.0002] # MUSICAL KEYBOARD
1F3BA ; [.123D.0020.0002] # TRUMPET
1F3BB ; [.123E.0020.0002] # VIOLIN
1F3BC ; [.123F.0020.0002] # MUSICAL SCORE
1F3BD ; [.1240.0020.0002] # RUNNING SHIRT WITH SASH
1F3BE ; [.1241.0020.0002] # TENNIS RACQUET AND BALL
1F3BF ; [.1242.0020.0002] # SKI AND SKI BOOT
1F3C0 ; [.1243.0020.0002] # BASKETBALL AND HOOP
1F3C1 ; [.1244.0020.0002] # CHEQUERED FLAG
1F3C2 ; [.1245.0020.0002] # SNOWBOARDER
1F3C3 ; [.1246.0020.0002] # RUNNER
1F3C4 ; [.1247.0020.0002] # SURFER
1F3C5 ; [.1248.0020.0002] # SPORTS MEDAL
1F3C6 ; [.1249.0020.0002] # TROPHY
1F3C7 ; [.124A.0020.0002] # HORSE RACING
1F3C8 ; [.124B.0020.0002] # AMERICAN FOOTBALL
1F3C9 ; [.124C.0020.0002] # RUGBY FOOTBALL
1F3CA ; [.124D.0020.0002] # SWIMMER
1F3CB ; [.124E.0020.0002] # WEIGHT LIFTER
1F3CC ; [.124F.0020.0002] # GOLFER
1F3CD ; [.1250.0020.0002] # RACING MOTORCYCLE
1F3CE ; [.1251.0020.0002] # RACING CAR
1F3CF ; [.1252.0020.0002] # CRICKET BAT AND BALL
1F3D0 ; [.1253.0020.0002] # VOLLEYBALL
1F3D1 ; [.1254.0020.0002] # FIELD HOCKEY STICK AND BALL
1F3D2 ; [.1255.0020.0002] # ICE HOCKEY STICK AND PUCK
1F3D3 ; [.1256.0020.0002] # TABLE TENNIS PADDLE AND BALL
1F3D4 ; [.1257.0020.0002] # SNOW CAPPED MOUNTAIN
1F3D5 ; [.1258.0020.0002] # CAMPING
1F3D6 ; [.1259.0020.0002] # BEACH WITH UMBRELLA
1F3D7 ; [.125A.0020.0002] # BUILDING CONSTRUCTION
1F3D8 ; [.125B.0020.0002] # HOUSE BUILDINGS
1F3D9 ; [.125C.0020.0002] # CITYSCAPE
1F3DA ; [.125D.0020.0002] # DERELICT HOUSE BUILDING
1F3DB ; [.125E.0020.0002] # CLASSICAL BUILDING
1F3DC ; [.125F.0020.0002] # DESERT
1F3DD ; [.1260.0020.0002] # DESERT ISLAND
1F3DE ; [.1261.0020.0002] # NATIONAL PARK
1F3DF ; [.1262.0020.0002] # STADIUM
1F3E0 ; [.1263.0020.0002] # HOUSE BUILDING
1F3E1 ; [.1264.0020.0002] # HOUSE WITH GARDEN
1F3E2 ; [.1265.0020.0002] # OFFICE BUILDING
1F3E3 ; [.1266.0020.0002] # JAPANESE POST OFFICE
1F3E4 ; [.1267.0020.0002] # EUROPEAN POST OFFICE
1F3E5 ; [.1268.0020.0002] # HOSPITAL
1F3E6 ; [.1269.0020.0002] # BANK
1F3E7 ; [.126A.0020.0002] # AUTOMATED TELLER MACHINE
1F3E8 ; [.126B.0020.0002] # HOTEL
1F3E9 ; [.126C.0020.0002] # LOVE HOTEL
1F3EA ; [.126D.0020.0002] # CONVENIENCE STORE
1F3EB ; [.126E.0020.0002] # SCHOOL
1F3EC ; [.126F.0020.0002] # DEPARTMENT STORE
1F3ED ; [.1270.0020.0002] # FACTORY
1F3EE ; [.1271.0020.0002] # IZAKAYA LANTERN
1F3EF ; [.1272.0020.0002] # JAPANESE CASTLE
1F3F0 ; [.1273.0020.0002] # EUROPEAN CASTLE
1F3F1 ; [.1274.0020.0002] # WHITE PENNANT
